day,pnl,credit,max_loss
2024-08-22,-89.28,13.0,89.0
2024-08-23,-4.15,11.0,91.0
2024-08-26,-11.34,12.0,190.0
2024-08-27,10.24,13.0,90.0
2024-08-28,-62.7,10.0,93.0
2024-08-29,9.05,12.0,191.0
2024-08-30,-96.61,6.0,97.0
2024-09-03,-94.82,8.0,95.0
2024-09-04,12.13,15.0,188.0
2024-09-05,12.17,15.0,188.0
2024-09-06,-188.34,14.0,188.0
2024-09-09,14.52,17.0,185.0
2024-09-10,14.98,18.0,185.0
2024-09-11,-184.25,18.0,184.0
2024-09-12,-90.81,21.0,182.0
2024-09-13,19.26,22.0,181.0
2024-09-16,19.72,22.0,180.0
2024-09-17,18.64,21.0,181.0
2024-09-18,10.34,13.0,90.0
2024-09-19,10.84,13.0,189.0
2024-09-20,14.04,17.0,186.0
2024-09-23,6.33,9.0,94.0
2024-09-24,5.37,8.0,95.0
2024-09-25,5.44,8.0,95.0
2024-09-26,-64.85,8.0,95.0
2024-09-27,-48.78,7.0,96.0
2024-09-30,-95.83,7.0,96.0
2024-10-01,-95.6,7.0,96.0
2024-10-02,7.0,10.0,93.0
2024-10-03,6.58,9.0,93.0
2024-10-04,-0.43,2.0,100.0
2024-10-07,-99.6,3.0,100.0
2024-10-08,-96.98,6.0,97.0
2024-10-09,-94.61,8.0,95.0
2024-10-10,6.23,9.0,94.0
2024-10-11,-93.8,9.0,94.0
2024-10-14,-93.15,9.0,93.0
2024-10-15,-192.09,11.0,192.0
2024-10-16,-22.88,10.0,93.0
2024-10-17,-92.6,10.0,93.0
2024-10-18,7.0,10.0,93.0
2024-10-21,5.84,8.0,94.0
2024-10-22,-29.61,5.0,98.0
2024-10-23,-99.09,4.0,99.0
2024-10-24,3.07,6.0,97.0
2024-10-25,-92.92,6.0,97.0
2024-10-28,-14.94,5.0,98.0
2024-10-29,-77.15,2.0,100.0
2024-10-30,-0.21,2.0,100.0
2024-10-31,-0.35,2.0,100.0
2024-11-01,7.38,10.0,193.0
2024-11-04,7.49,10.0,93.0
2024-11-05,-92.54,10.0,93.0
2024-11-06,12.46,15.0,188.0
2024-11-07,21.54,24.0,178.0
2024-11-08,22.15,25.0,178.0
2024-11-11,22.21,25.0,178.0
2024-11-12,22.22,25.0,178.0
2024-11-13,22.68,25.0,177.0
2024-11-14,-42.77,25.0,178.0
2024-11-15,-85.85,17.0,186.0
2024-11-18,18.73,21.0,181.0
2024-11-19,-181.76,21.0,182.0
2024-11-20,17.06,20.0,183.0
2024-11-21,4.67,7.0,95.0
2024-11-22,-47.3,6.0,96.0
2024-11-25,-43.43,6.0,96.0
2024-11-26,3.93,7.0,96.0
2024-11-27,-12.59,7.0,96.0
2024-11-29,-95.24,7.0,95.0
2024-12-02,4.06,7.0,96.0
2024-12-03,0.34,3.0,100.0
2024-12-04,-65.6,3.0,100.0
2024-12-05,0.44,3.0,100.0
2024-12-06,0.44,3.0,100.0
2024-12-09,0.44,3.0,100.0
2024-12-10,-99.61,3.0,100.0
2024-12-11,-45.61,3.0,100.0
2024-12-12,-66.58,3.0,100.0
2024-12-13,-78.12,3.0,99.0
2024-12-16,0.4,3.0,100.0
2024-12-17,0.36,3.0,100.0
2024-12-18,-99.12,3.0,99.0
2024-12-19,-82.16,20.0,182.0
2024-12-20,-82.57,20.0,183.0
2024-12-23,-49.17,22.0,180.0
2024-12-24,-178.93,24.0,179.0
2024-12-26,23.47,26.0,177.0
2024-12-27,22.29,25.0,178.0
2024-12-30,22.78,25.0,177.0
2024-12-31,24.15,27.0,276.0
2025-01-02,-112.65,26.0,177.0
2025-01-03,-71.78,26.0,177.0
2025-01-06,12.58,15.0,187.0
2025-01-07,-187.0,16.0,187.0
2025-01-08,14.16,17.0,186.0
2025-01-10,-86.76,16.0,187.0
2025-01-13,-187.33,15.0,187.0
2025-01-14,13.33,16.0,187.0
2025-01-15,12.73,15.0,187.0
2025-01-16,17.51,20.0,182.0
2025-01-17,17.44,20.0,183.0
2025-01-21,18.61,21.0,181.0
2025-01-22,17.84,20.0,182.0
2025-01-23,-57.19,20.0,182.0
2025-01-24,14.31,17.0,186.0
2025-01-27,-185.68,17.0,186.0
2025-01-28,-138.22,16.0,186.0
2025-01-29,14.36,17.0,186.0
2025-01-30,15.59,18.0,84.0
2025-01-31,-89.22,13.0,89.0
2025-02-03,-88.99,14.0,89.0
2025-02-04,-167.35,13.0,189.0
2025-02-05,-90.14,12.0,90.0
2025-02-06,9.68,12.0,190.0
2025-02-07,-190.76,12.0,191.0
2025-02-10,10.69,13.0,189.0
2025-02-11,-24.14,9.0,193.0
2025-02-12,-95.1,7.0,95.0
2025-02-13,-95.24,7.0,95.0
2025-02-14,7.18,10.0,93.0
2025-02-18,6.09,9.0,94.0
2025-02-19,-89.14,6.0,96.0
2025-02-20,3.19,6.0,97.0
2025-02-21,-96.04,7.0,96.0
2025-02-24,-188.81,14.0,189.0
2025-02-25,-66.31,12.0,190.0
2025-02-26,8.46,11.0,92.0
2025-02-27,-91.54,11.0,92.0
2025-02-28,-87.85,15.0,88.0
2025-03-03,-84.16,18.0,184.0
2025-03-04,4.27,21.0,182.0
2025-03-05,-82.18,20.0,182.0
2025-03-06,20.91,24.0,179.0
2025-03-07,-169.25,25.0,177.0
2025-03-10,-177.85,25.0,178.0
2025-03-11,19.61,30.0,272.0
2025-03-12,27.84,30.0,172.0
2025-03-13,-271.39,31.0,271.0
2025-03-14,-172.11,30.0,172.0
2025-03-17,16.17,34.0,269.0
2025-03-18,30.84,33.0,269.0
2025-03-19,17.48,33.0,270.0
2025-03-20,30.57,33.0,269.0
2025-03-21,-70.68,30.0,173.0
2025-03-24,27.56,30.0,172.0
2025-03-25,22.37,25.0,178.0
2025-03-26,-179.53,23.0,180.0
2025-03-27,22.96,26.0,177.0
2025-03-28,-80.34,22.0,180.0
2025-03-31,-180.62,22.0,181.0
2025-04-01,19.6,22.0,80.0
2025-04-02,-181.92,21.0,182.0
2025-04-03,-83.73,19.0,184.0
2025-04-04,-261.62,41.0,262.0
2025-04-07,-349.36,53.0,349.0
2025-04-08,-349.86,53.0,350.0
2025-04-09,-254.48,48.0,254.0
2025-04-10,104.55,107.0,595.0
2025-04-11,107.31,110.0,593.0
2025-04-14,112.88,115.0,587.0
2025-04-15,112.11,115.0,688.0
2025-04-16,110.22,113.0,690.0
2025-04-17,109.87,112.0,590.0
2025-04-21,102.09,105.0,598.0
2025-04-22,92.3,95.0,508.0
2025-04-23,97.89,100.0,502.0
2025-04-24,95.66,98.0,504.0
2025-04-25,51.92,55.0,348.0
2025-04-28,36.49,39.0,264.0
2025-04-29,-97.45,37.0,265.0
2025-04-30,-219.9,37.0,266.0
2025-05-01,34.96,38.0,265.0
2025-05-02,27.24,30.0,173.0
2025-05-05,27.51,30.0,272.0
2025-05-06,15.38,18.0,85.0
2025-05-07,14.01,17.0,186.0
2025-05-08,12.37,15.0,188.0
2025-05-09,-59.67,9.0,194.0
2025-05-12,6.85,9.0,193.0
2025-05-13,22.44,25.0,178.0
2025-05-14,22.73,25.0,177.0
2025-05-15,-123.55,25.0,178.0
2025-05-16,22.8,25.0,177.0
2025-05-19,-178.8,24.0,179.0
2025-05-20,19.85,22.0,180.0
2025-05-21,-182.38,20.0,182.0
2025-05-22,24.64,27.0,175.0
2025-05-23,24.17,27.0,176.0
2025-05-27,-89.08,29.0,174.0
2025-05-28,-110.28,19.0,183.0
2025-05-29,16.98,20.0,183.0
2025-05-30,16.98,20.0,183.0
2025-06-02,-83.45,19.0,183.0
2025-06-03,-92.37,19.0,183.0
2025-06-04,17.44,20.0,183.0
2025-06-05,-177.77,20.0,183.0
2025-06-06,11.5,14.0,88.0
2025-06-09,12.87,15.0,187.0
2025-06-10,2.81,13.0,89.0
2025-06-11,-97.88,5.0,98.0
2025-06-12,-99.4,3.0,99.0
2025-06-13,0.57,3.0,99.0
2025-06-16,-62.14,8.0,194.0
2025-06-17,-39.83,10.0,93.0
2025-06-18,8.86,11.0,91.0
2025-06-20,-91.15,11.0,91.0
2025-06-23,-91.16,11.0,91.0
2025-06-24,9.01,12.0,91.0
2025-06-25,11.72,14.0,188.0
2025-06-26,-75.75,14.0,189.0
2025-06-27,12.04,15.0,188.0
2025-06-30,12.36,15.0,88.0
2025-07-01,7.62,10.0,192.0
2025-07-02,-93.26,9.0,93.0
2025-07-03,-97.44,5.0,97.0
2025-07-07,-97.61,5.0,98.0
2025-07-08,3.99,7.0,96.0
2025-07-09,-2.55,6.0,97.0
2025-07-10,1.46,4.0,99.0
2025-07-11,1.2,4.0,99.0
2025-07-14,1.5,4.0,98.0
2025-07-15,-98.8,4.0,99.0
2025-07-16,1.75,4.0,98.0
2025-07-17,-98.06,5.0,98.0
2025-07-18,-39.42,5.0,97.0
2025-07-21,0.97,4.0,99.0
2025-07-22,0.97,4.0,99.0
2025-07-23,-98.97,4.0,99.0
2025-07-24,1.11,4.0,99.0
2025-07-25,1.12,4.0,99.0
2025-07-28,1.18,4.0,99.0
2025-07-29,-98.8,4.0,99.0
2025-07-30,-52.86,4.0,99.0
2025-07-31,-98.77,4.0,99.0
2025-08-01,-99.1,4.0,99.0
2025-08-04,-92.72,10.0,93.0
2025-08-05,-86.47,16.0,186.0
2025-08-06,-63.98,17.0,86.0
2025-08-07,-160.97,17.0,186.0
2025-08-08,-4.06,17.0,86.0
2025-08-11,15.08,18.0,185.0
2025-08-12,-153.8,18.0,185.0
2025-08-13,17.51,20.0,182.0
2025-08-14,17.33,20.0,183.0
2025-08-15,16.89,19.0,183.0
2025-08-18,8.32,11.0,92.0
2025-08-19,3.48,6.0,97.0
2025-08-20,3.56,6.0,96.0
2025-08-21,2.6,5.0,97.0
2025-08-22,-96.62,6.0,97.0
2025-08-25,8.78,11.0,91.0
2025-08-26,-106.68,12.0,191.0
2025-08-27,6.84,9.0,193.0
2025-08-28,6.75,9.0,93.0
2025-08-29,-87.95,10.0,193.0
2025-09-02,-19.28,10.0,92.0
2025-09-03,9.45,12.0,191.0
2025-09-04,-90.55,12.0,91.0
2025-09-05,-89.27,13.0,89.0
2025-09-08,10.31,13.0,90.0
2025-09-09,4.09,7.0,96.0
2025-09-10,3.24,6.0,97.0
2025-09-11,-96.99,6.0,97.0
2025-09-12,4.88,7.0,95.0
2025-09-15,4.91,8.0,95.0
2025-09-16,3.08,6.0,97.0
2025-09-17,1.74,4.0,98.0
2025-09-18,1.79,4.0,98.0
2025-09-19,1.8,4.0,98.0
2025-09-22,-98.21,4.0,98.0
2025-09-23,-98.09,5.0,98.0
2025-09-24,-98.15,4.0,98.0
2025-09-25,1.69,4.0,98.0
2025-09-26,-80.27,4.0,98.0
2025-09-29,1.85,4.0,98.0
2025-09-30,-98.19,4.0,98.0
2025-10-01,-98.18,4.0,98.0
2025-10-02,2.0,5.0,98.0
2025-10-03,1.99,5.0,-2.0
2025-10-06,2.03,5.0,98.0
2025-10-07,-97.95,5.0,98.0
2025-10-08,-98.01,5.0,98.0
2025-10-09,-81.93,5.0,98.0
2025-10-10,-97.96,5.0,98.0
2025-10-13,19.46,22.0,181.0
2025-10-14,-98.99,27.0,176.0
2025-10-15,24.28,27.0,276.0
2025-10-16,-175.55,27.0,276.0
2025-10-17,-114.4,27.0,175.0
2025-10-20,-4.16,28.0,174.0
2025-10-21,27.84,30.0,272.0
2025-10-22,7.61,30.0,172.0
2025-10-23,27.16,30.0,173.0
2025-10-24,28.23,31.0,272.0
2025-10-27,-12.87,14.0,89.0
2025-10-28,9.08,12.0,191.0
2025-10-29,8.42,11.0,192.0
2025-10-30,-91.46,11.0,91.0
2025-10-31,-82.33,14.0,188.0
2025-11-03,11.46,14.0,89.0
2025-11-04,9.09,12.0,191.0
2025-11-05,13.85,16.0,86.0
2025-11-06,-86.97,16.0,187.0
2025-11-07,15.25,18.0,85.0
2025-11-10,-86.2,16.0,186.0
2025-11-11,16.67,19.0,183.0
2025-11-12,16.84,19.0,183.0
2025-11-13,-183.35,19.0,183.0
2025-11-14,-180.81,22.0,181.0
2025-11-17,-114.01,22.0,181.0
2025-11-18,19.41,22.0,181.0
2025-11-19,18.21,21.0,182.0
2025-11-20,-181.08,22.0,181.0
2025-11-21,-83.0,23.0,180.0
2025-11-24,-176.9,26.0,177.0
2025-11-25,-177.13,25.0,177.0
2025-11-26,25.36,28.0,175.0
2025-11-28,26.62,29.0,173.0
2025-12-01,21.19,24.0,179.0
2025-12-02,22.06,25.0,178.0
2025-12-03,19.34,22.0,181.0
2025-12-04,16.55,19.0,183.0
2025-12-05,16.73,19.0,183.0
2025-12-08,-94.13,8.0,194.0
2025-12-09,6.57,9.0,93.0
2025-12-10,-97.7,5.0,98.0
2025-12-11,-97.64,5.0,98.0
2025-12-12,-97.56,5.0,98.0
2025-12-15,-96.5,6.0,97.0
2025-12-16,2.55,5.0,97.0
2025-12-17,-97.32,5.0,97.0
2025-12-18,5.69,8.0,194.0
2025-12-19,-91.7,11.0,192.0
2025-12-22,9.87,12.0,190.0
2025-12-23,-185.08,14.0,189.0
2025-12-24,-26.49,14.0,188.0
2025-12-26,10.78,13.0,89.0
2025-12-29,10.55,13.0,89.0
2025-12-30,6.9,10.0,193.0
2025-12-31,-93.16,9.0,93.0
2026-01-02,-74.36,11.0,191.0
2026-01-05,3.24,6.0,97.0
2026-01-06,2.85,5.0,97.0
2026-01-07,-97.09,6.0,97.0
2026-01-08,2.54,5.0,97.0
2026-01-09,-97.5,5.0,98.0
2026-01-12,-96.86,6.0,97.0
2026-01-13,-19.72,6.0,97.0
2026-01-14,2.67,5.0,97.0
2026-01-15,-72.03,7.0,96.0
2026-01-16,-31.43,5.0,97.0
2026-01-20,-97.73,5.0,98.0
2026-01-21,-186.65,16.0,187.0
2026-01-22,16.65,19.0,183.0
2026-01-23,17.18,20.0,183.0
2026-01-26,17.29,20.0,183.0
2026-01-27,17.01,20.0,183.0
2026-01-28,17.48,20.0,183.0
2026-01-29,17.34,20.0,183.0
2026-01-30,16.57,19.0,183.0
2026-02-02,-183.42,19.0,183.0
2026-02-03,-82.61,20.0,183.0
2026-02-04,-93.79,9.0,94.0
2026-02-05,-97.19,5.0,97.0
2026-02-06,-193.23,9.0,193.0
2026-02-09,-176.8,21.0,182.0
2026-02-10,18.41,21.0,182.0
2026-02-11,-81.78,21.0,182.0
2026-02-12,-81.88,21.0,182.0
2026-02-13,22.0,25.0,178.0
2026-02-17,22.0,25.0,178.0
2026-02-18,21.52,24.0,178.0
2026-02-19,21.16,24.0,179.0
2026-02-20,-79.24,23.0,179.0
2026-02-23,-181.97,21.0,182.0
2026-02-24,-188.63,14.0,189.0
2026-02-25,-2.31,15.0,187.0
2026-02-26,-155.2,17.0,185.0
2026-02-27,15.14,18.0,85.0
2026-03-02,-91.25,11.0,191.0
2026-03-03,-91.37,11.0,91.0
2026-03-04,-88.74,14.0,89.0
2026-03-05,12.01,15.0,188.0
2026-03-06,12.29,15.0,88.0
2026-03-09,-186.41,16.0,186.0
2026-03-10,14.85,17.0,185.0
2026-03-11,13.06,16.0,187.0
2026-03-12,-90.23,12.0,190.0
2026-03-13,-186.33,16.0,186.0
2026-03-16,13.71,16.0,186.0
2026-03-17,17.76,20.0,182.0
2026-03-18,-183.03,20.0,183.0
2026-03-19,17.39,20.0,183.0
2026-03-20,-182.73,20.0,183.0
2026-03-23,19.3,22.0,181.0
2026-03-24,19.87,22.0,180.0
2026-03-25,20.19,23.0,180.0
2026-03-26,-178.72,24.0,179.0
2026-03-27,-177.9,25.0,178.0
2026-03-30,-275.0,28.0,275.0
2026-03-31,-179.07,24.0,179.0
2026-04-01,38.33,41.0,262.0
2026-04-02,-263.0,40.0,263.0
2026-04-06,37.74,40.0,262.0
2026-04-07,33.74,36.0,266.0
2026-04-08,33.89,36.0,266.0
2026-04-09,41.01,44.0,259.0
2026-04-10,41.49,44.0,259.0
2026-04-13,-265.34,37.0,265.0
2026-04-14,-273.91,29.0,274.0
2026-04-15,-70.1,26.0,176.0
2026-04-16,14.22,17.0,86.0
2026-04-17,-84.97,18.0,85.0
2026-04-20,14.54,17.0,185.0
2026-04-21,-83.1,19.0,183.0
2026-04-22,20.3,23.0,180.0
2026-04-23,10.33,13.0,90.0
2026-04-24,-81.39,15.0,187.0
2026-04-27,12.18,15.0,188.0
2026-04-28,11.54,14.0,188.0
2026-04-29,11.15,14.0,189.0
2026-04-30,-89.66,13.0,90.0
2026-05-01,12.58,15.0,187.0
2026-05-04,9.17,12.0,191.0
2026-05-05,9.72,12.0,190.0
2026-05-06,-191.45,11.0,191.0
2026-05-07,-130.79,14.0,189.0
2026-05-08,-51.17,13.0,189.0
2026-05-11,-18.95,14.0,89.0
2026-05-12,11.01,14.0,189.0
2026-05-13,-90.53,12.0,91.0
2026-05-14,-90.9,12.0,191.0
2026-05-15,-74.71,11.0,92.0
2026-05-18,16.03,19.0,184.0
2026-05-19,14.98,18.0,85.0
2026-05-20,-83.75,19.0,184.0
2026-05-21,-157.98,17.0,186.0
2026-05-22,13.73,16.0,186.0
2026-05-26,12.52,15.0,187.0
2026-05-27,13.46,16.0,187.0
2026-05-28,-86.78,16.0,187.0
2026-05-29,13.41,16.0,187.0
2026-06-01,-42.0,15.0,88.0
2026-06-02,-52.81,7.0,96.0
2026-06-03,-95.83,7.0,96.0
2026-06-04,-95.98,7.0,96.0
2026-06-05,-95.98,7.0,96.0
2026-06-08,-54.01,27.0,176.0
2026-06-09,-176.29,26.0,176.0
2026-06-10,-178.24,24.0,178.0
2026-06-11,-274.65,28.0,275.0
2026-06-12,32.54,35.0,267.0
2026-06-15,33.91,37.0,266.0
2026-06-16,40.12,43.0,260.0
2026-06-17,-259.75,43.0,260.0
2026-06-18,41.36,44.0,259.0
2026-06-22,42.19,45.0,258.0
2026-06-23,30.11,33.0,270.0
2026-06-24,34.14,37.0,266.0
2026-06-25,34.28,37.0,266.0
2026-06-26,28.72,31.0,171.0
2026-06-29,-75.82,27.0,176.0
2026-06-30,-147.12,32.0,270.0
2026-07-01,24.5,27.0,175.0
